 ,Area,Mean,Min,Max,Angle,Length
1,0.006,96.173,0,215,-63.800,0.403
2,0.004,103.546,31,227,-66.975,0.250
3,0.009,101.296,0,214,-56.310,0.642
4,0.008,106.277,0,233,-71.748,0.569
5,0.005,134.823,18,229,-22.479,0.361
6,0.004,82.325,10,217,-68.429,0.266
7,0.004,175.758,73,235,-20.807,0.307
8,0.004,130.730,46,232,-94.399,0.300
9,0.004,80.474,3,219,-73.540,0.264
10,0.004,97.684,10,216,-81.158,0.262
11,0.002,98.452,8,225,-85.914,0.161
