 ,Area,Mean,Min,Max,Angle,Length
1,10.234,233.983,165,244,-90.000,11.579
2,16.936,227.962,96,245,-95.242,19.203
3,21.337,225.927,121,240,-92.075,24.226
4,8.256,236.696,149,247,-86.760,9.313
5,13.643,236.128,126,245,-90.651,15.440
6,7.156,240.883,182,247,90.000,8.070
7,11.057,238.766,165,246,-85.170,12.501
8,10.103,233.856,162,242,-90.881,11.405
9,24.861,223.082,73,245,-98.584,28.211
10,14.735,225.414,133,248,-74.798,16.726
